国名（日本語）,Country (English),Emoji,Unicode Code Points
アルゼンチン,Argentina,🇦🇷,U+1F1E6 U+1F1F7
オーストラリア,Australia,🇦🇺,U+1F1E6 U+1F1FA
ブラジル,Brazil,🇧🇷,U+1F1E7 U+1F1F7
カナダ,Canada,🇨🇦,U+1F1E8 U+1F1E6
中国,China,🇨🇳,U+1F1E8 U+1F1F3
フランス,France,🇫🇷,U+1F1EB U+1F1F7
ドイツ,Germany,🇩🇪,U+1F1E9 U+1F1EA
インド,India,🇮🇳,U+1F1EE U+1F1F3
インドネシア,Indonesia,🇮🇩,U+1F1EE U+1F1E9
イタリア,Italy,🇮🇹,U+1F1EE U+1F1F9
日本,Japan,🇯🇵,U+1F1EF U+1F1F5
メキシコ,Mexico,🇲🇽,U+1F1F2 U+1F1FD
ロシア,Russia,🇷🇺,U+1F1F7 U+1F1FA
サウジアラビア,Saudi Arabia,🇸🇦,U+1F1F8 U+1F1E6
南アフリカ,South Africa,🇿🇦,U+1F1FF U+1F1E6
韓国,South Korea,🇰🇷,U+1F1F0 U+1F1F7
トルコ,Turkey,🇹🇷,U+1F1F9 U+1F1F7
イギリス,United Kingdom,🇬🇧,U+1F1EC U+1F1E7
アメリカ合衆国,United States,🇺🇸,U+1F1FA U+1F1F8
欧州連合（EU）,European Union,🇪🇺,U+1F1EA U+1F1FA
